Training...
Step 388 | Train Loss: 0.2822 | last_energy: -20.203319549560547
Step 392 | Train Loss: 0.2555 | last_energy: -20.365009307861328
Step 396 | Train Loss: 0.2481 | last_energy: -20.991945266723633
Step 400 | Train Loss: 0.2737 | last_energy: -20.814289093017578
Saved checkpoint: ./checkpoints/ebt.pth
Step 404 | Train Loss: 0.2954 | last_energy: -20.36072540283203
Step 408 | Train Loss: 0.2696 | last_energy: -19.376239776611328
Step 412 | Train Loss: 0.2525 | last_energy: -20.52364730834961
Step 416 | Train Loss: 0.2575 | last_energy: -20.462772369384766
Step 420 | Train Loss: 0.2795 | last_energy: -20.073442459106445
Step 424 | Train Loss: 0.2590 | last_energy: -20.967649459838867
Step 428 | Train Loss: 0.2827 | last_energy: -21.263967514038086
Step 432 | Train Loss: 0.2915 | last_energy: -21.0858154296875
Step 436 | Train Loss: 0.2873 | last_energy: -18.422775268554688
Step 440 | Train Loss: 0.2745 | last_energy: -21.29323959350586
Step 444 | Train Loss: 0.2987 | last_energy: -23.273550033569336
Step 448 | Train Loss: 0.3061 | last_energy: -22.328420639038086
Step 452 | Train Loss: 0.2342 | last_energy: -20.949283599853516
Step 456 | Train Loss: 0.2576 | last_energy: -22.17469596862793
Step 460 | Train Loss: 0.2659 | last_energy: -21.95661163330078
Step 464 | Train Loss: 0.2662 | last_energy: -21.46961212158203
Step 468 | Train Loss: 0.2412 | last_energy: -22.921371459960938
Step 472 | Train Loss: 0.2986 | last_energy: -23.400278091430664
Step 476 | Train Loss: 0.2627 | last_energy: -21.9378662109375
Step 480 | Train Loss: 0.2880 | last_energy: -20.887622833251953
Step 484 | Train Loss: 0.2434 | last_energy: -20.718563079833984
Step 488 | Train Loss: 0.2825 | last_energy: -22.69428253173828
Step 492 | Train Loss: 0.2836 | last_energy: -22.266809463500977
Step 496 | Train Loss: 0.2761 | last_energy: -21.475961685180664
Step 500 | Train Loss: 0.2830 | last_energy: -21.41925811767578
Step 504 | Train Loss: 0.2777 | last_energy: -20.75174331665039
Step 508 | Train Loss: 0.2977 | last_energy: -22.013151168823242
Step 512 | Train Loss: 0.2588 | last_energy: -21.47980499267578
Step 516 | Train Loss: 0.2895 | last_energy: -19.95201873779297
Step 520 | Train Loss: 0.2548 | last_energy: -18.954689025878906
Step 524 | Train Loss: 0.2258 | last_energy: -20.3453369140625
Step 528 | Train Loss: 0.2680 | last_energy: -22.71575164794922
Step 532 | Train Loss: 0.2763 | last_energy: -22.0152530670166
Step 536 | Train Loss: 0.2529 | last_energy: -19.898929595947266
Step 540 | Train Loss: 0.2661 | last_energy: -20.095775604248047
Step 544 | Train Loss: 0.2644 | last_energy: -19.759546279907227
Step 548 | Train Loss: 0.2643 | last_energy: -17.34771156311035
Step 552 | Train Loss: 0.2683 | last_energy: -15.767173767089844
Step 556 | Train Loss: 0.2447 | last_energy: -15.54753303527832
Step 560 | Train Loss: 0.2751 | last_energy: -15.169635772705078
Step 564 | Train Loss: 0.2574 | last_energy: -13.813821792602539
Step 568 | Train Loss: 0.2805 | last_energy: -12.745491981506348
Step 572 | Train Loss: 0.2395 | last_energy: -14.166114807128906
Step 576 | Train Loss: 0.2669 | last_energy: -15.818938255310059
Step 580 | Train Loss: 0.2449 | last_energy: -15.947860717773438
Step 584 | Train Loss: 0.2572 | last_energy: -15.639076232910156
Step 588 | Train Loss: 0.2982 | last_energy: -14.708342552185059
Step 592 | Train Loss: 0.2722 | last_energy: -13.854538917541504
Step 596 | Train Loss: 0.2875 | last_energy: -14.607268333435059
Step 600 | Train Loss: 0.2661 | last_energy: -14.969430923461914
Saved checkpoint: ./checkpoints/ebt.pth
Step 604 | Train Loss: 0.2758 | last_energy: -14.851268768310547
Step 608 | Train Loss: 0.2599 | last_energy: -14.731730461120605
Step 612 | Train Loss: 0.2537 | last_energy: -14.831979751586914
Step 616 | Train Loss: 0.2620 | last_energy: -14.325080871582031
Step 620 | Train Loss: 0.2634 | last_energy: -14.909107208251953
Step 624 | Train Loss: 0.2617 | last_energy: -15.349109649658203
Step 628 | Train Loss: 0.2684 | last_energy: -14.973907470703125
Step 632 | Train Loss: 0.2697 | last_energy: -15.591222763061523
Step 636 | Train Loss: 0.2662 | last_energy: -15.448607444763184
Step 640 | Train Loss: 0.3027 | last_energy: -13.863828659057617
Step 644 | Train Loss: 0.3485 | last_energy: -13.585311889648438
Step 648 | Train Loss: 0.2948 | last_energy: -14.580204010009766
Step 652 | Train Loss: 0.2417 | last_energy: -17.552074432373047
Step 656 | Train Loss: 0.2376 | last_energy: -18.6755428314209
Step 660 | Train Loss: 0.2986 | last_energy: -17.742752075195312
Step 664 | Train Loss: 0.3322 | last_energy: -15.710151672363281
Step 668 | Train Loss: 0.2700 | last_energy: -14.793740272521973
Step 672 | Train Loss: 0.2740 | last_energy: -16.145936965942383
Step 676 | Train Loss: 0.3005 | last_energy: -17.37466812133789
Step 680 | Train Loss: 0.2733 | last_energy: -17.00360107421875
Step 684 | Train Loss: 0.2743 | last_energy: -15.64736557006836
Step 688 | Train Loss: 0.2635 | last_energy: -15.916712760925293
Step 692 | Train Loss: 0.2692 | last_energy: -16.685626983642578
Step 696 | Train Loss: 0.2721 | last_energy: -16.18732452392578
Step 700 | Train Loss: 0.2892 | last_energy: -15.319252967834473
Step 704 | Train Loss: 0.2439 | last_energy: -15.646451950073242
Step 708 | Train Loss: 0.2795 | last_energy: -16.401830673217773
Step 712 | Train Loss: 0.2799 | last_energy: -15.969947814941406
Step 716 | Train Loss: 0.2816 | last_energy: -15.991682052612305
Step 720 | Train Loss: 0.2858 | last_energy: -15.631072998046875
Step 724 | Train Loss: 0.3134 | last_energy: -15.048737525939941
Step 728 | Train Loss: 0.2764 | last_energy: -14.03781509399414
Step 732 | Train Loss: 0.2529 | last_energy: -14.48108196258545
Step 736 | Train Loss: 0.2998 | last_energy: -15.195266723632812
Step 740 | Train Loss: 0.3142 | last_energy: -15.103398323059082
Step 744 | Train Loss: 0.2607 | last_energy: -13.93526840209961
Step 748 | Train Loss: 0.2461 | last_energy: -13.862716674804688
Step 752 | Train Loss: 0.2567 | last_energy: -14.242717742919922
Step 756 | Train Loss: 0.2427 | last_energy: -13.91241455078125
Step 760 | Train Loss: 0.2698 | last_energy: -13.696904182434082
Step 764 | Train Loss: 0.2432 | last_energy: -12.943464279174805
Step 768 | Train Loss: 0.2911 | last_energy: -12.465774536132812
Step 772 | Train Loss: 0.2356 | last_energy: -11.400442123413086
Step 776 | Train Loss: 0.2405 | last_energy: -11.08918571472168
Step 780 | Train Loss: 0.2659 | last_energy: -11.351503372192383
Step 784 | Train Loss: 0.2694 | last_energy: -10.980768203735352
Step 788 | Train Loss: 0.2391 | last_energy: -10.691537857055664
Step 792 | Train Loss: 0.2415 | last_energy: -10.417994499206543
Step 796 | Train Loss: 0.2899 | last_energy: -9.59760856628418
Step 800 | Train Loss: 0.2583 | last_energy: -8.53913688659668
Saved checkpoint: ./checkpoints/ebt.pth
Step 804 | Train Loss: 0.2567 | last_energy: -7.939642429351807
Step 808 | Train Loss: 0.2877 | last_energy: -7.604434967041016
Step 812 | Train Loss: 0.2452 | last_energy: -7.058656692504883
Step 816 | Train Loss: 0.2852 | last_energy: -7.095375061035156
Step 820 | Train Loss: 0.2697 | last_energy: -6.718082427978516
Step 824 | Train Loss: 0.2845 | last_energy: -7.586993217468262
Step 828 | Train Loss: 0.2972 | last_energy: -7.5545148849487305
Step 832 | Train Loss: 0.2826 | last_energy: -8.32827091217041
Step 836 | Train Loss: 0.2510 | last_energy: -7.9300923347473145
Step 840 | Train Loss: 0.2413 | last_energy: -8.383585929870605
Step 844 | Train Loss: 0.2823 | last_energy: -8.74483585357666
Step 848 | Train Loss: 0.2906 | last_energy: -8.228860855102539
Step 852 | Train Loss: 0.2957 | last_energy: -8.752750396728516
Step 856 | Train Loss: 0.2687 | last_energy: -8.133578300476074
Step 860 | Train Loss: 0.2708 | last_energy: -7.961696624755859
Step 864 | Train Loss: 0.2614 | last_energy: -8.098405838012695
Step 868 | Train Loss: 0.2597 | last_energy: -7.342527389526367
Step 872 | Train Loss: 0.2778 | last_energy: -6.876787185668945
Step 876 | Train Loss: 0.2546 | last_energy: -6.09476375579834
Step 880 | Train Loss: 0.2570 | last_energy: -6.706369876861572
Step 884 | Train Loss: 0.2662 | last_energy: -6.098626136779785
Step 888 | Train Loss: 0.3234 | last_energy: -6.876142978668213
Step 892 | Train Loss: 0.2518 | last_energy: -7.347500324249268
Step 896 | Train Loss: 0.2689 | last_energy: -7.762090682983398
Step 900 | Train Loss: 0.2673 | last_energy: -7.558999538421631
Step 904 | Train Loss: 0.2599 | last_energy: -7.116457462310791
Step 908 | Train Loss: 0.2781 | last_energy: -7.743740081787109
Step 912 | Train Loss: 0.2880 | last_energy: -8.31750774383545
Step 916 | Train Loss: 0.2630 | last_energy: -8.670380592346191
Step 920 | Train Loss: 0.2810 | last_energy: -8.216594696044922
Step 924 | Train Loss: 0.3092 | last_energy: -8.189077377319336
Step 928 | Train Loss: 0.2837 | last_energy: -7.8050642013549805
Step 932 | Train Loss: 0.2669 | last_energy: -6.749629974365234
Step 936 | Train Loss: 0.2909 | last_energy: -6.629767417907715
Step 940 | Train Loss: 0.2472 | last_energy: -7.7535881996154785
Step 944 | Train Loss: 0.2705 | last_energy: -7.926065921783447
Step 948 | Train Loss: 0.2622 | last_energy: -7.913727760314941
Step 952 | Train Loss: 0.2737 | last_energy: -6.625622749328613
Step 956 | Train Loss: 0.3163 | last_energy: -6.513250350952148
Step 960 | Train Loss: 0.2999 | last_energy: -7.327608108520508
Step 964 | Train Loss: 0.2372 | last_energy: -7.499030590057373
Step 968 | Train Loss: 0.2614 | last_energy: -7.942551612854004
Step 972 | Train Loss: 0.2323 | last_energy: -7.887258052825928
