Training...
Step 388 | Train Loss: 0.1770 | last_energy: -134.04116821289062
Step 392 | Train Loss: 0.1846 | last_energy: -133.99781799316406
Step 396 | Train Loss: 0.1707 | last_energy: -133.96408081054688
Step 400 | Train Loss: 0.1610 | last_energy: -133.9388427734375
Saved checkpoint: ./checkpoints/ebt.pth
Step 404 | Train Loss: 0.1841 | last_energy: -133.9046173095703
Step 408 | Train Loss: 0.1709 | last_energy: -133.86260986328125
Step 412 | Train Loss: 0.1601 | last_energy: -133.84219360351562
Step 416 | Train Loss: 0.1650 | last_energy: -133.80181884765625
Step 420 | Train Loss: 0.1613 | last_energy: -133.75552368164062
Step 424 | Train Loss: 0.1647 | last_energy: -133.73773193359375
Step 428 | Train Loss: 0.1844 | last_energy: -133.69888305664062
Step 432 | Train Loss: 0.1830 | last_energy: -133.67478942871094
Step 436 | Train Loss: 0.1858 | last_energy: -133.64239501953125
Step 440 | Train Loss: 0.2080 | last_energy: -133.60003662109375
Step 444 | Train Loss: 0.1736 | last_energy: -133.56912231445312
Step 448 | Train Loss: 0.1639 | last_energy: -133.53738403320312
Step 452 | Train Loss: 0.1751 | last_energy: -133.50523376464844
Step 456 | Train Loss: 0.2002 | last_energy: -133.47293090820312
Step 460 | Train Loss: 0.1630 | last_energy: -133.44378662109375
Step 464 | Train Loss: 0.2064 | last_energy: -133.41317749023438
Step 468 | Train Loss: 0.1604 | last_energy: -133.3618927001953
Step 472 | Train Loss: 0.1634 | last_energy: -133.32691955566406
Step 476 | Train Loss: 0.1576 | last_energy: -133.28489685058594
Step 480 | Train Loss: 0.1588 | last_energy: -133.24949645996094
Step 484 | Train Loss: 0.1671 | last_energy: -133.24713134765625
Step 488 | Train Loss: 0.1845 | last_energy: -133.20147705078125
Step 492 | Train Loss: 0.1657 | last_energy: -133.16937255859375
Step 496 | Train Loss: 0.1898 | last_energy: -133.1380615234375
Step 500 | Train Loss: 0.1669 | last_energy: -133.10549926757812
Step 504 | Train Loss: 0.1677 | last_energy: -133.06585693359375
Step 508 | Train Loss: 0.1862 | last_energy: -133.03070068359375
Step 512 | Train Loss: 0.1687 | last_energy: -132.99221801757812
Step 516 | Train Loss: 0.1954 | last_energy: -132.96578979492188
Step 520 | Train Loss: 0.1622 | last_energy: -132.92779541015625
Step 524 | Train Loss: 0.1793 | last_energy: -132.889892578125
Step 528 | Train Loss: 0.1564 | last_energy: -132.86643981933594
Step 532 | Train Loss: 0.1837 | last_energy: -132.82305908203125
Step 536 | Train Loss: 0.2095 | last_energy: -132.8084716796875
Step 540 | Train Loss: 0.1723 | last_energy: -132.77139282226562
Step 544 | Train Loss: 0.1900 | last_energy: -132.72674560546875
Step 548 | Train Loss: 0.1735 | last_energy: -132.69479370117188
Step 552 | Train Loss: 0.1761 | last_energy: -132.66555786132812
Step 556 | Train Loss: 0.1502 | last_energy: -132.62344360351562
Step 560 | Train Loss: 0.1634 | last_energy: -132.59239196777344
Step 564 | Train Loss: 0.1792 | last_energy: -132.5583038330078
Step 568 | Train Loss: 0.1939 | last_energy: -132.53318786621094
Step 572 | Train Loss: 0.1345 | last_energy: -132.4957733154297
Step 576 | Train Loss: 0.1836 | last_energy: -132.46434020996094
Step 580 | Train Loss: 0.1740 | last_energy: -132.4299774169922
Step 584 | Train Loss: 0.1779 | last_energy: -132.3936004638672
Step 588 | Train Loss: 0.1947 | last_energy: -132.37158203125
Step 592 | Train Loss: 0.1580 | last_energy: -132.32681274414062
Step 596 | Train Loss: 0.2078 | last_energy: -132.2951202392578
Step 600 | Train Loss: 0.1875 | last_energy: -132.26510620117188
Saved checkpoint: ./checkpoints/ebt.pth
Step 604 | Train Loss: 0.1614 | last_energy: -132.2292938232422
Step 608 | Train Loss: 0.1922 | last_energy: -132.19781494140625
Step 612 | Train Loss: 0.1932 | last_energy: -132.1751708984375
Step 616 | Train Loss: 0.1940 | last_energy: -132.14019775390625
Step 620 | Train Loss: 0.1730 | last_energy: -132.09072875976562
Step 624 | Train Loss: 0.1812 | last_energy: -132.0769805908203
Step 628 | Train Loss: 0.1942 | last_energy: -132.03634643554688
Step 632 | Train Loss: 0.1754 | last_energy: -131.99728393554688
Step 636 | Train Loss: 0.1714 | last_energy: -131.96279907226562
Step 640 | Train Loss: 0.1751 | last_energy: -131.93878173828125
Step 644 | Train Loss: 0.1999 | last_energy: -131.8979034423828
Step 648 | Train Loss: 0.1984 | last_energy: -131.861572265625
Step 652 | Train Loss: 0.1610 | last_energy: -131.84837341308594
Step 656 | Train Loss: 0.1758 | last_energy: -131.796875
Step 660 | Train Loss: 0.1826 | last_energy: -131.77146911621094
Step 664 | Train Loss: 0.1909 | last_energy: -131.7371826171875
Step 668 | Train Loss: 0.1591 | last_energy: -131.69566345214844
Step 672 | Train Loss: 0.1720 | last_energy: -131.661376953125
Step 676 | Train Loss: 0.1755 | last_energy: -131.63095092773438
Step 680 | Train Loss: 0.1717 | last_energy: -131.59963989257812
Step 684 | Train Loss: 0.2027 | last_energy: -131.57510375976562
Step 688 | Train Loss: 0.1787 | last_energy: -131.53150939941406
Step 692 | Train Loss: 0.1732 | last_energy: -131.49514770507812
Step 696 | Train Loss: 0.1703 | last_energy: -131.46218872070312
Step 700 | Train Loss: 0.1734 | last_energy: -131.4284210205078
Step 704 | Train Loss: 0.1554 | last_energy: -131.39952087402344
Step 708 | Train Loss: 0.2101 | last_energy: -131.38394165039062
Step 712 | Train Loss: 0.1688 | last_energy: -131.3323974609375
Step 716 | Train Loss: 0.1543 | last_energy: -131.29684448242188
